epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,402.734,1.92639,0.7407,0.88408,0.84983,0.00015018,0.00015018,0.00015018
2,796.896,0.71183,0.84076,0.9762,0.46282,0.00029587,0.00029587,0.00029587
3,1209.03,0.43796,0.86882,0.9878,0.34983,0.000435554,0.000435554,0.000435554
4,1611.83,0.33438,0.87004,0.9939,0.31829,0.000427973,0.000427973,0.000427973
5,1981.98,0.28865,0.87065,0.99329,0.33562,0.000418964,0.000418964,0.000418964
6,2354.67,0.26112,0.88103,0.99573,0.26594,0.000409955,0.000409955,0.000409955
7,2734.5,0.22665,0.88652,0.99878,0.27065,0.000400946,0.000400946,0.000400946
8,3132.45,0.22118,0.88347,0.99878,0.24544,0.000391937,0.000391937,0.000391937
9,3515.28,0.199,0.88408,0.99817,0.2855,0.000382928,0.000382928,0.000382928
10,3882.05,0.18589,0.87614,1,0.2658,0.000373919,0.000373919,0.000373919
11,4261.22,0.18622,0.87492,0.99939,0.25628,0.00036491,0.00036491,0.00036491
12,4644.28,0.17546,0.88896,0.99756,0.24693,0.000355901,0.000355901,0.000355901
13,5049.01,0.17166,0.89384,0.99878,0.24924,0.000346892,0.000346892,0.000346892
14,5432.93,0.16386,0.86577,0.99756,0.29435,0.000337883,0.000337883,0.000337883
15,5806.66,0.1551,0.88652,0.99939,0.24601,0.000328874,0.000328874,0.000328874
16,6198.38,0.15443,0.87065,0.99817,0.29766,0.000319865,0.000319865,0.000319865
17,6596.66,0.1486,0.88286,0.99817,0.25974,0.000310856,0.000310856,0.000310856
18,6976.41,0.14286,0.87675,0.99939,0.2536,0.000301847,0.000301847,0.000301847
19,7378.55,0.14596,0.87614,0.99939,0.26067,0.000292838,0.000292838,0.000292838
20,7763.85,0.13867,0.8798,0.99939,0.25274,0.000283829,0.000283829,0.000283829
21,8166.4,0.14025,0.87004,0.99695,0.27417,0.00027482,0.00027482,0.00027482
22,8574.63,0.13553,0.87431,0.99878,0.26347,0.000265811,0.000265811,0.000265811
23,8986.64,0.14074,0.86577,0.99878,0.28991,0.000256802,0.000256802,0.000256802
24,9404.57,0.13134,0.88041,0.99939,0.2626,0.000247793,0.000247793,0.000247793
25,9821.16,0.12931,0.8737,0.99817,0.26518,0.000238784,0.000238784,0.000238784
26,10218.8,0.12486,0.87919,1,0.2571,0.000229775,0.000229775,0.000229775
27,10614.6,0.12485,0.87187,0.99878,0.27128,0.000220766,0.000220766,0.000220766
28,11006,0.12618,0.87919,0.99939,0.28023,0.000211757,0.000211757,0.000211757
29,11402.3,0.11888,0.87309,0.99939,0.29594,0.000202748,0.000202748,0.000202748
30,11743.1,0.12308,0.8798,0.99939,0.26699,0.000193739,0.000193739,0.000193739
31,12091.7,0.11849,0.87858,0.99939,0.29194,0.00018473,0.00018473,0.00018473
32,12447.7,0.12155,0.8737,0.99878,0.29908,0.000175721,0.000175721,0.000175721
33,12815.7,0.11881,0.88041,0.99939,0.27113,0.000166712,0.000166712,0.000166712
34,13183.3,0.11282,0.88041,0.99939,0.2914,0.000157703,0.000157703,0.000157703
