epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,135.706,1.66127,3.88786,1.3013,0.73407,0.04474,0.02783,0.01701,1.50109,2.86405,1.25102,0.00998811,0.00332937,0.00998811,0.00332937,0.00998811,0.00332937,0.00998811,0.00332937
2,255.79,1.6489,2.83585,1.29999,0.64933,0.05883,0.04014,0.0252,1.52569,2.42469,1.27013,0.0197902,0.00659674,0.0197902,0.00659674,0.0197902,0.00659674,0.0197902,0.00659674
3,372.836,1.67253,2.72593,1.30302,0.39721,0.07119,0.04127,0.02486,1.57367,2.53546,1.28937,0.0293943,0.00979811,0.0293943,0.00979811,0.0293943,0.00979811,0.0293943,0.00979811
4,489.455,1.69027,2.69023,1.31998,0.37578,0.08041,0.04758,0.02846,1.55244,2.36031,1.26029,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,607.512,1.6659,2.56556,1.29905,0.36998,0.08855,0.04874,0.03081,1.50838,2.44893,1.26398,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,723.63,1.62628,2.4828,1.2858,0.3344,0.09498,0.0611,0.03819,1.49776,2.19534,1.24103,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,840.763,1.61817,2.42249,1.27224,0.33998,0.09181,0.06081,0.03882,1.48323,2.20886,1.22361,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,958.104,1.59758,2.36272,1.26265,0.2811,0.10069,0.07088,0.04477,1.46984,2.18364,1.23919,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1075.46,1.586,2.29991,1.25461,0.38844,0.10283,0.07256,0.04635,1.43531,2.0872,1.218,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1190.98,1.57611,2.29327,1.25072,0.35936,0.1085,0.0742,0.04724,1.42211,2.06054,1.22311,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1306.96,1.55979,2.21423,1.2458,0.38459,0.11301,0.0775,0.05004,1.4143,2.02246,1.20665,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1422.46,1.53032,2.20063,1.2368,0.41655,0.10132,0.08037,0.05141,1.40683,2.03534,1.20659,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1537.43,1.54577,2.154,1.23442,0.32555,0.11154,0.07934,0.05237,1.41892,2.03795,1.21596,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1653.18,1.5404,2.1296,1.22561,0.34203,0.11285,0.08635,0.05526,1.39228,1.93983,1.19202,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1768.81,1.51877,2.10315,1.21768,0.34739,0.12021,0.09018,0.05859,1.37664,1.92175,1.19173,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1884.23,1.50755,2.0638,1.2182,0.36359,0.12536,0.09228,0.06077,1.39224,1.95739,1.1916,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2000.18,1.51277,2.03858,1.21237,0.37435,0.11878,0.08697,0.05654,1.38104,1.91718,1.17981,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2115.51,1.50186,2.04422,1.2126,0.32801,0.12948,0.09302,0.06148,1.37213,1.91505,1.18558,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2231.54,1.49983,2.00877,1.21002,0.36081,0.12677,0.09842,0.06483,1.36878,1.87778,1.17786,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2347.15,1.47854,1.99248,1.20396,0.42232,0.12496,0.09752,0.06402,1.36325,1.8846,1.17408,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2462.25,1.47038,1.92111,1.19681,0.42738,0.13585,0.10324,0.06929,1.35408,1.86808,1.17375,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2579.67,1.4735,1.95818,1.20352,0.3769,0.1323,0.10486,0.06933,1.35348,1.8278,1.1712,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2697.15,1.47184,1.9242,1.19731,0.33956,0.13646,0.10661,0.0712,1.3393,1.81731,1.16722,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2813.39,1.46529,1.91703,1.19536,0.29382,0.1515,0.10925,0.07184,1.33354,1.81318,1.16704,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2928.91,1.47143,1.89637,1.19493,0.39077,0.14982,0.11223,0.07507,1.33895,1.82362,1.16377,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,3044.72,1.46395,1.87079,1.19112,0.38065,0.14328,0.11021,0.07334,1.32258,1.78874,1.15484,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,3159.31,1.46217,1.88304,1.19261,0.31769,0.15469,0.10946,0.07186,1.33261,1.80208,1.15923,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,3274.16,1.46684,1.85615,1.19018,0.37777,0.15754,0.11683,0.0767,1.33177,1.77603,1.15776,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,3388.86,1.46057,1.85173,1.18278,0.32534,0.15672,0.11341,0.07537,1.31565,1.75994,1.15367,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,3504.29,1.44287,1.82153,1.17944,0.36667,0.14717,0.11617,0.07793,1.31542,1.75018,1.15209,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
