epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,51.6933,2.03758,4.2628,1.28647,0.8447,0.02574,0.01863,0.01028,1.96118,2.96907,1.21403,0.00997625,0.00332542,0.00997625,0.00332542,0.00997625,0.00332542,0.00997625,0.00332542
2,94.8504,2.06192,2.84398,1.24928,0.73557,0.03207,0.02301,0.01226,1.97338,2.65885,1.28335,0.0197785,0.00659283,0.0197785,0.00659283,0.0197785,0.00659283,0.0197785,0.00659283
3,148.649,2.1132,2.62279,1.26477,0.51596,0.03116,0.01646,0.00878,2.0873,3.10474,1.30289,0.0293827,0.00979424,0.0293827,0.00979424,0.0293827,0.00979424,0.0293827,0.00979424
4,198.006,2.09135,2.60387,1.2732,0.3978,0.04595,0.0259,0.01359,2.02008,2.47789,1.26721,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,237.654,2.04437,2.47433,1.25194,0.37165,0.06062,0.0345,0.01859,1.94453,2.25614,1.24811,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,278.285,2.02873,2.42753,1.23335,0.3341,0.06808,0.03293,0.01823,1.88807,2.71371,1.22295,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,318.798,1.98495,2.36001,1.21783,0.35347,0.06403,0.04053,0.02157,1.87805,2.16288,1.18648,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,358.692,1.97355,2.36355,1.20928,0.347,0.07241,0.04421,0.02446,1.84906,2.18448,1.18707,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,398.983,1.95126,2.30795,1.20302,0.313,0.07044,0.04514,0.02504,1.83457,2.09358,1.19386,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,438.691,1.9255,2.2681,1.19764,0.36837,0.07361,0.04987,0.02781,1.81784,2.11286,1.16825,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,478.371,1.91269,2.20975,1.17982,0.32298,0.07879,0.04963,0.02845,1.77615,2.0655,1.16417,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,517.534,1.91113,2.19689,1.18509,0.41012,0.06488,0.04735,0.02585,1.80511,2.06731,1.16313,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,556.915,1.89569,2.15929,1.17528,0.25375,0.08081,0.05076,0.02862,1.75506,2.03472,1.15659,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,596.527,1.88522,2.14695,1.16774,0.2834,0.07863,0.05289,0.02973,1.76264,1.9757,1.16181,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,635.96,1.87108,2.12751,1.17275,0.29667,0.09123,0.05838,0.03277,1.7451,1.95259,1.15151,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,674.933,1.88208,2.09191,1.16715,0.37038,0.07965,0.05774,0.03283,1.74894,1.96955,1.15538,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,714.296,1.86739,2.09797,1.1663,0.30174,0.09752,0.06162,0.03514,1.71204,1.88363,1.14298,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,753.526,1.84524,2.05772,1.16202,0.3149,0.08914,0.06128,0.03425,1.72473,1.86627,1.14075,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,793.453,1.85405,2.04306,1.16155,0.32195,0.09625,0.05989,0.03382,1.74998,1.9123,1.13963,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,833.558,1.84296,2.0141,1.15567,0.36386,0.09237,0.0658,0.03784,1.70056,1.84364,1.1401,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,872.643,1.83885,1.99243,1.14974,0.3981,0.09864,0.06826,0.03908,1.71313,1.92256,1.14641,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,911.417,1.82238,2.02034,1.15963,0.33623,0.10403,0.07141,0.04146,1.70256,1.85877,1.13784,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,950.33,1.81701,1.96757,1.14341,0.29801,0.10032,0.06754,0.03905,1.68636,1.84588,1.13267,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,988.908,1.82203,1.98796,1.146,0.35954,0.09366,0.07408,0.04471,1.68302,1.84687,1.12411,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1027.53,1.79794,1.93763,1.14137,0.38953,0.0955,0.07365,0.04362,1.68248,1.81756,1.12827,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1066.37,1.81415,1.95285,1.14197,0.30123,0.09944,0.07668,0.04665,1.68361,1.80657,1.12767,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
